City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Vagur,FO,61.47,-6.81,50.23,84,100,26.53,overcast clouds
280,Ambon,ID,-3.7,128.18,84.0,88,40,2.24,light rain
281,Labuhan,ID,-6.88,112.21,80.35,72,23,8.21,few clouds
282,Kinston,US,35.26,-77.58,84.2,83,1,1.48,clear sky
283,Nuuk,GL,64.18,-51.72,46.4,93,100,26.4,light snow
284,Kattivakkam,IN,13.22,80.32,80.6,88,40,2.77,scattered clouds
285,Brae,GB,60.4,-1.35,51.8,81,40,18.34,scattered clouds
286,Batagay-Alyta,RU,67.8,130.41,53.44,62,100,2.24,overcast clouds
287,Hasaki,JP,35.73,140.83,86.0,83,75,12.75,broken clouds
288,Deniliquin,AU,-35.53,144.97,59.95,58,0,7.76,clear sky
289,Sheopur,IN,25.67,76.7,78.19,85,0,6.04,clear sky
290,Unecha,RU,52.85,32.67,60.08,93,100,2.71,overcast clouds
291,Omaruru,NA,-21.43,15.93,68.16,49,95,7.92,overcast clouds
292,Tuatapere,NZ,-46.13,167.68,56.07,55,100,3.69,overcast clouds
293,Mehran,IR,33.12,46.16,68.0,28,0,6.93,clear sky
294,Mahebourg,MU,-20.41,57.7,66.2,82,40,11.41,scattered clouds
295,Xacmaz,AZ,41.46,48.81,68.45,67,0,2.71,clear sky
296,Kenai,US,60.55,-151.26,60.01,50,90,3.36,overcast clouds
297,Krasnovishersk,RU,60.41,57.08,42.8,94,0,1.66,clear sky
298,Aztec,US,36.82,-107.99,93.99,6,1,8.05,clear sky
299,Taganak,PH,6.08,118.3,82.4,83,20,3.36,few clouds
300,San Patricio,MX,19.22,-104.7,87.8,79,40,11.41,scattered clouds
301,Woodstock,CA,43.13,-80.75,61.0,63,20,5.82,few clouds
302,Halifax,CA,44.65,-63.57,66.0,99,91,7.0,overcast clouds
303,Yar-Sale,RU,66.83,70.83,38.59,92,3,10.13,clear sky
304,Morlaix,FR,48.58,-4.0,57.0,93,20,5.82,few clouds
305,Guanica,PR,17.97,-66.91,79.0,78,97,4.97,overcast clouds
306,Sao Miguel,BR,-5.47,-35.37,75.2,88,20,3.36,few clouds
307,Haines Junction,CA,60.75,-137.51,53.06,44,0,4.94,clear sky
308,Port Hueneme,US,34.15,-119.2,78.01,68,1,14.99,clear sky
309,Salinopolis,BR,-0.61,-47.36,79.25,84,72,12.5,broken clouds
310,Hegra,NO,63.46,11.11,50.0,100,100,2.24,light intensity drizzle
311,Ilinge,ZA,-31.98,27.04,57.87,52,0,3.02,clear sky
312,Ashcroft,CA,50.72,-121.29,91.4,39,75,5.82,broken clouds
313,Bull Savanna,JM,17.89,-77.59,77.43,84,10,11.63,clear sky
314,Faanui,PF,-16.48,-151.75,77.9,79,6,15.95,clear sky
315,Mweka,CD,-4.85,21.57,70.79,54,31,0.38,scattered clouds
316,Najran,SA,17.49,44.13,73.4,31,0,3.67,clear sky
317,Durban,ZA,-29.86,31.03,63.0,87,0,4.7,clear sky
318,Pervomayskoye,RU,43.92,46.71,63.91,87,0,6.71,clear sky
319,Qaqortoq,GL,60.72,-46.03,42.8,93,91,3.36,mist
320,Xucheng,CN,20.35,110.13,80.6,94,24,4.47,light rain
321,Majene,ID,-3.54,118.97,82.24,73,91,8.88,overcast clouds
